Temperatur_K,Fraksi_Mol_Glycine
270.0,0.0018227788147313078
271.0,0.0018276573382454931
272.0,0.0018326600247817583
273.0,0.0018377851648563076
274.0,0.0018430311039390065
275.0,0.0018483962404742284
276.0,0.0018538790239592067
277.0,0.0018594779531353528
278.0,0.0018651915742274078
279.0,0.0018710184792841515
280.0,0.0018769573045912223
281.0,0.0018830067291101629
282.0,0.0018891654730252793
283.0,0.0018954322963440615
284.0,0.0019018059975183875
285.0,0.001908285412178326
286.0,0.0019148694118819685
287.0,0.0019215569029164892
288.0,0.0019283468251627906
289.0,0.0019352381510026417
290.0,0.0019422298842567804
291.0,0.0019493210591868643
292.0,0.001956510739508314
293.0,0.0019637980174784992
294.0,0.0019711820129923426
295.0,0.0019786618727205218
296.0,0.0019862367692982975
297.0,0.0019939059005075546
298.0,0.0020016684885465637
299.0,0.0020095237792714573
300.0,0.0020174710415046724
301.0,0.0020255095663520954
302.0,0.002033638666560968
303.0,0.0020418576758917673
304.0,0.0020501659485042335
305.0,0.002058562858390548
306.0,0.00206704779881971
307.0,0.0020756201817948806
308.0,0.002084279437543215
309.0,0.002093025014011307
310.0,0.0021018563763990357
311.0,0.002110773006693532
312.0,0.002119774403221982
313.0,0.00212886008024137
314.0,0.002138029567517994
315.0,0.00214728240992324
316.0,0.0021566181670730753
317.0,0.0021660364129481727
318.0,0.0021755367355520564
319.0,0.0021851187365651576
320.0,0.002194782031010254
321.0,0.0022045262469595453
322.0,0.0022143510252072944
323.0,0.0022242560189960087
324.0,0.002234240893727004
325.0,0.0022443053266918743
326.0,0.002254449006808129
327.0,0.002264671634372101
328.0,0.0022749729208157263
329.0,0.002285352588481699
330.0,0.0022958103703695585
331.0,0.002306346009967539
332.0,0.0023169592610031205
333.0,0.002327649887261823
334.0,0.0023384176623935686
335.0,0.0023492623697155797
336.0,0.0023601838020526626
337.0,0.002371181761552337
338.0,0.002382256059525438
339.0,0.0023934065162720722
340.0,0.00240463296095573
341.0,0.00241593523143977
342.0,0.002427313174138679
343.0,0.0024387666438988706
344.0,0.002450295503858746
345.0,0.0024618996253214834
346.0,0.002473578887649919
347.0,0.002485333178125735
348.0,0.002497162391860154
349.0,0.0025090664316796143
350.0,0.002521045208028554
